[0] A = 2                            | A=2 | Assignment
[1] B = 3                            | A=2 B=3 | Assignment
[2] print(B)                         | A=2 B=3 | print(B)
[3] C = A * (B + 3)                  | A=2 B=3 C=12 | Arithmetic operation
[4] D = C ^ B                        | A=2 B=3 C=12 D=1728 | Arithmetic operation
[5] E = 1024                         | A=2 B=3 C=12 D=1728 E=1024 | Assignment
[6] print(E)                         | A=2 B=3 C=12 D=1728 E=1024 | print(E)
[7] K = (25 - 9) ^ 2 * (10 + 1 - 1)  | A=2 B=3 C=12 D=1728 E=1024 K=2560 | Arithmetic operation
[8] print(K)                         | A=2 B=3 C=12 D=1728 E=1024 K=2560 | print(K)
[9] F = A = K                        | A=2560 B=3 C=12 D=1728 E=1024 F=2560 K=2560 | Assignment
[10] A                                | A=2560 B=3 C=12 D=1728 E=1024 F=2560 K=2560 | Operation not found
[11] print(A + B - C)                 | A=2560 B=3 C=12 D=1728 E=1024 F=2560 K=2560 | print(A + B - C)
